#{"t_start": 1746695570.1572256, "env_id": "CartPole-v1"}
r,l,t
297.0,297,18.828671
168.0,168,18.875912
305.0,305,19.900128
148.0,148,19.964697
236.0,236,20.088926
129.0,129,20.143491
142.0,142,20.195498
155.0,155,20.238387
335.0,335,20.338518
151.0,151,20.379219
171.0,171,20.438002
134.0,134,20.478263
129.0,129,20.518528
149.0,149,21.552689
244.0,244,21.621312
187.0,187,21.700946
383.0,383,21.864634
179.0,179,21.921532
138.0,138,21.962431
148.0,148,22.007725
152.0,152,22.055822
217.0,217,22.134345
233.0,233,22.212732
167.0,167,23.278812
234.0,234,23.341989
234.0,234,23.428029
253.0,253,23.509392
191.0,191,23.569873
175.0,175,23.626019
149.0,149,23.697226
144.0,144,23.788004
139.0,139,23.868846
307.0,307,23.963039
240.0,240,24.95638
164.0,164,25.008107
250.0,250,25.162517
204.0,204,25.281681
151.0,151,25.355335
500.0,500,25.511698
231.0,231,25.589343
181.0,181,25.648522
218.0,218,25.722111
105.0,105,26.705957
324.0,324,26.804448
343.0,343,26.960043
251.0,251,27.051116
216.0,216,27.109811
389.0,389,27.219429
219.0,219,27.280322
212.0,212,27.338463
321.0,321,28.336592
210.0,210,28.406995
356.0,356,28.515567
397.0,397,28.702166
242.0,242,28.775683
188.0,188,28.836216
500.0,500,29.910968
347.0,347,30.085476
500.0,500,30.321647
239.0,239,30.395659
257.0,257,30.479416
203.0,203,30.537996
306.0,306,30.627877
500.0,500,31.67354
500.0,500,31.832089
434.0,434,31.965731
500.0,500,32.114079
500.0,500,33.23517
500.0,500,33.455954
500.0,500,33.676525
500.0,500,33.854706
500.0,500,35.053575
500.0,500,35.360231
500.0,500,35.509369
500.0,500,35.704045
500.0,500,36.693715
500.0,500,36.838163
500.0,500,37.004619
500.0,500,37.31953
500.0,500,38.493985
500.0,500,38.73349
500.0,500,38.871186
500.0,500,39.040992
500.0,500,40.118471
500.0,500,40.29812
500.0,500,40.444209
500.0,500,40.635944
500.0,500,41.744026
500.0,500,41.916833
500.0,500,42.078612
500.0,500,42.257101
500.0,500,43.440489
500.0,500,43.651201
500.0,500,43.80904
500.0,500,43.960398
500.0,500,44.174933
500.0,500,45.322271
500.0,500,45.476476
500.0,500,45.637738
500.0,500,45.780089
500.0,500,46.855309
500.0,500,47.07044
500.0,500,47.22814
500.0,500,47.455634
500.0,500,48.590901
500.0,500,48.796272
500.0,500,48.981116
500.0,500,49.132964
500.0,500,50.25284
500.0,500,50.434761
500.0,500,50.704404
500.0,500,50.972894
500.0,500,52.277902
500.0,500,52.446249
500.0,500,52.617463
500.0,500,52.801426
500.0,500,53.995178
500.0,500,54.190582
500.0,500,54.373569
500.0,500,54.518398
500.0,500,55.572832
500.0,500,55.740207
500.0,500,55.880476
500.0,500,56.056935
500.0,500,57.176555
500.0,500,57.350667
500.0,500,57.579875
500.0,500,57.785436
500.0,500,58.938702
